AGE_ka,GR_gAPI
1609.605649,21.5560147
1612.730821,21.81662047
1615.855992,21.85884724
1618.981164,23.04585354
1622.106335,24.80759528
1625.231506,25.08335276
1628.356678,24.15218766
1631.481849,22.31115354
1634.607021,21.65214646
1637.732192,20.95582756
1640.857363,20.3026979
1643.982535,20.16583386
1647.107706,20.15490446
1650.232878,22.52368136
1653.358049,23.30304803
1656.48322,22.92316404
1659.608392,22.62621286
1662.733563,23.13785984
1665.858735,25.38195407
1669.74847,25.33710367
1673.713822,23.94155748
1677.679174,23.08874724
1681.644526,23.67620866
1685.609878,24.27402283
1689.57523,23.75909948
1693.540582,22.34865853
1697.505933,23.20859449
1701.471285,23.57973045
1705.436637,23.99556247
1709.401989,23.83857087
1713.367341,23.06677585
1717.332693,22.0279748
1721.298045,23.18105748
1725.263397,24.40377454
1729.228749,22.77901575
1733.194101,21.74988976
1737.159452,22.29485039
1741.124804,22.09318688
1745.090156,22.78982756
1749.055508,22.52320026
1753.02086,20.50173097
1756.986212,20.2808811
1760.951564,22.69946955
1764.916916,23.28949396
1768.882268,21.68941969
1772.847619,20.59129423
1776.812971,21.11519606
1780.778323,22.6688811
1784.743675,21.9265
1788.709027,21.8546958
1792.674379,22.08645984
1797.760396,22.12731811
1803.641414,21.98649108
1809.522432,21.52658425
1815.40345,21.7845853
1821.284468,23.1508189
1827.165486,22.97039449
1833.046504,23.80514672
1838.927522,25.26095197
1844.80854,25.60124409
1850.689558,25.09624672
1856.570576,25.16139948
1862.451594,25.27045354
1868.332612,24.74149239
1874.21363,22.98322415
1880.094648,21.55251654
1885.975666,21.59477454
1891.856684,22.5592601
1897.737702,25.54155197
1903.61872,25.41534856
1909.499738,24.79334593
1915.380756,23.49366614
1921.261774,22.28355879
1927.142792,22.50589423
1933.02381,21.97544803
1938.904828,22.15189895
1944.785846,22.12350157
1950.666864,23.29155512
1956.547882,22.36671522
1962.4289,22.87040945
1968.309918,24.44158425
1974.190936,24.43797402
1980.071954,24.31498609
1985.952972,24.12112677
1991.83399,24.77725223
1997.715008,24.30011785
2003.596027,23.44468583
2009.477045,23.07335774
2015.358063,23.36081864
2021.239081,24.17136457
2027.120099,24.1377063
2033.001117,23.73422782
2038.882135,24.34891654
2044.763153,24.31396903
2050.644171,24.51366168
2056.525189,24.25183386
2062.406207,23.92105643
2068.287225,26.3349147
2074.755837,27.17636063
2081.987646,25.18871312
2089.219455,24.52813517
2096.451264,25.82458898
2103.683074,26.77339186
2110.914883,25.87979029
2118.146692,25.24512362
2125.378501,25.36204409
2132.61031,25.91418058
2139.842119,25.90170079
2147.073928,24.72235433
2154.305738,24.72440787
2161.537547,25.0868748
2167.937844,24.76969186
2174.202779,23.4296
2180.467714,22.89310079
2186.732649,24.41522021
2192.997584,25.86984908
2199.262519,25.95429921
2205.527455,26.43536247
2211.79239,25.71453412
2218.057325,23.98801969
2224.32226,23.65437664
2230.587195,24.72578871
2236.85213,25.43005669
2243.117065,25.81638871
2249.382,25.65208898
2255.646935,25.41323937
2261.91187,25.63215354
2268.176805,26.71225328
2274.44174,27.17008346
2280.706675,27.07627979
2286.648083,26.33412887
2292.382645,26.74966693
2298.117207,28.19260971
2303.85177,28.08464147
2309.586332,26.1683748
2315.320894,25.30032231
2321.055456,23.72471286
2326.790018,24.6986874
2332.524581,26.1163252
2338.259143,26.74427297
2343.993705,27.19430079
2349.728267,26.30473543
2355.462829,22.92681234
2361.197392,23.3960874
2366.931954,24.83659344
2372.666516,25.92176509
2378.936528,24.9295748
2386.269447,22.69287349
2393.602366,20.46074331
2400.935286,20.19679449
2408.268205,21.79784436
2415.601124,22.03219921
2422.934043,20.33055197
2430.266963,22.40237349
2437.599882,23.85459265
2444.932801,25.91251969
2452.26572,25.72004724
2459.59864,24.78081942
2466.931559,22.83226614
2474.264478,22.9421916
2481.597398,23.51985144
2488.930317,23.8414126
2496.263236,24.5154979
2503.596155,25.56227008
2510.929075,25.96648898
2518.261994,23.05459449
2525.594913,21.0033315
2532.927832,20.09323543
2540.260752,21.51045774
2547.593671,23.00989344
2555.055245,24.01467244
2563.083593,25.01085381
2571.111942,23.42161234
2579.140291,22.64670157
2587.16864,22.05724173
2595.196989,21.87523333
2603.225338,22.2101252
2611.253687,21.85904514
2619.282036,21.66135801
2627.310385,21.91125354
2635.338734,22.82298163
2643.367083,23.4106357
2651.395431,22.37392913
2659.42378,21.87797008
2667.452129,23.18074856
2675.480478,24.52065827
2683.508827,25.96541417
2691.537176,24.5074622
2699.565525,23.92750157
2707.593874,23.17623675
2715.622223,21.8002357
2723.650572,20.93977638
2731.678921,22.42415958
2739.707269,24.97385197
2747.735618,26.42232362
2755.763967,27.03897139
2763.792316,26.56191627
2771.820665,23.12669134
2779.849014,22.55278399
2787.877363,24.4819189
2795.905712,23.6008937
2803.934061,24.89388478
2812.308478,27.51276142
2824.40822,28.3814063
2836.507962,26.43423596
2848.607704,25.3643336
2860.707446,26.3721748
2872.807188,25.65058688
2884.90693,24.28343727
2897.006672,25.18774173
2909.106414,24.96899606
2921.206156,24.98220866
2933.305899,26.35921969
2945.405641,26.53724173
2957.505383,25.89652152
2969.605125,25.30890472
2981.704867,23.57379711
2993.804609,24.6623273
3005.904351,27.40832756
3018.004093,28.01697087
3030.103835,26.40297087
3042.203577,25.93392283
3054.303319,24.72599396
3066.403061,25.8377378
3078.502803,28.44650472
3090.602545,29.56845748
3102.702287,28.00676693
3114.802029,28.39008583
3126.901771,27.18705853
3139.001513,27.52357874
3151.101255,28.88282283
3163.177711,28.85796037
3172.948784,28.60123727
3182.719857,27.99449449
3187.605393,27.70900105
3192.49093,28.17061155
3197.376467,28.90389764
3202.262003,31.5054273
3207.14754,33.60384304
3212.033076,33.36767165
3216.918613,31.93477822
3221.804149,31.89344409
3226.689686,31.81281181
3231.575222,34.63181286
3236.460759,36.74516115
3241.346295,35.64393465
3246.231832,32.80931942
3251.117369,29.74792598
3256.002905,28.57302677
3260.888442,27.54198215
3265.773978,28.91348661
3270.659515,31.58716929
3280.430588,31.06603123
3290.201661,29.3889958
3299.972734,27.77253622
3309.743807,26.49474829
3319.51488,26.30146168
3326.170127,26.43395512
3332.608766,27.07265013
3339.047405,29.80526404
3345.486044,31.32226772
3351.924683,29.95390472
3358.363322,27.91807533
3364.80196,28.29711575
3368.02128,28.37750709
3371.240599,29.99937664
3374.459919,29.90509843
