Time_Ma,Depth_mbrt
2.912046756,515.4
2.913216872,515.5
2.914386987,515.6
2.915557103,515.7
2.916727219,515.8
2.917897335,515.9
2.919067451,516
2.920237567,516.1
2.921407682,516.2
2.922577798,516.3
2.923747914,516.4
2.92491803,516.5
2.926088146,516.6
2.927258262,516.7
2.928428377,516.8
2.929598493,516.9
2.930768609,517
2.931938725,517.1
2.933108841,517.2
2.934278957,517.3
2.935449072,517.4
2.936619188,517.5
2.937789304,517.6
2.93895942,517.7
2.940129536,517.8
2.941299651,517.9
2.942469767,518
2.943639883,518.1
2.944809999,518.2
2.945980115,518.3
2.947150231,518.4
2.948320346,518.5
2.949490462,518.6
2.950660578,518.7
2.951830694,518.8
2.95300081,518.9
2.954170926,519
2.955341041,519.1
2.956511157,519.2
2.957681273,519.3
2.958851389,519.4
2.960021505,519.5
2.96119162,519.6
2.962361736,519.7
2.963531852,519.8
2.964701968,519.9
2.965872084,520
2.9670422,520.1
2.968212315,520.2
2.969382431,520.3
2.970552547,520.4
2.971722663,520.5
2.972892779,520.6
2.974062895,520.7
2.97523301,520.8
2.976403126,520.9
2.977573242,521
2.978743358,521.1
2.979913474,521.2
2.98108359,521.3
2.982253705,521.4
2.983423821,521.5
2.984593937,521.6
2.985764053,521.7
2.986934169,521.8
2.988104284,521.9
2.9892744,522
2.990444516,522.1
2.991614632,522.2
2.992784748,522.3
2.993954864,522.4
2.995124979,522.5
2.996295095,522.6
2.997465211,522.7
2.998635327,522.8
2.999805443,522.9
3.000975559,523
3.002145674,523.1
3.00331579,523.2
3.004485906,523.3
3.005656022,523.4
3.006826138,523.5
3.007996254,523.6
3.009166369,523.7
3.010336485,523.8
3.011506601,523.9
3.012676717,524
3.013846833,524.1
3.015016948,524.2
3.016187064,524.3
3.01735718,524.4
3.018527296,524.5
3.019697412,524.6
3.020867528,524.7
3.022037643,524.8
3.023207759,524.9
3.024377875,525
3.025547991,525.1
3.026718107,525.2
3.027888223,525.3
3.029058338,525.4
3.030228454,525.5
3.03139857,525.6
3.032568686,525.7
3.033738802,525.8
3.034908918,525.9
3.036079033,526
3.037249149,526.1
3.038419265,526.2
3.039589381,526.3
3.040759497,526.4
3.041929612,526.5
3.043099728,526.6
3.044269844,526.7
3.04543996,526.8
3.046610076,526.9
3.047780192,527
3.048950307,527.1
3.050120423,527.2
3.051290539,527.3
3.052460655,527.4
3.053630771,527.5
3.054800887,527.6
3.055971002,527.7
3.057141118,527.8
3.058311234,527.9
3.05948135,528
3.060651466,528.1
3.061821582,528.2
3.062991697,528.3
3.064161813,528.4
3.065331929,528.5
3.066502045,528.6
3.067672161,528.7
3.068842276,528.8
3.070012392,528.9
3.071182508,529
3.072352624,529.1
3.07352274,529.2
3.074692856,529.3
3.075862971,529.4
3.077033087,529.5
3.078203203,529.6
3.079373319,529.7
3.080543435,529.8
3.081713551,529.9
3.082883666,530
3.084053782,530.1
