Time_Ma,GR_gAPI
3.078,40.43447875
3.079,40.52284658
3.08,40.70267772
3.081,40.89769985
3.082,41.0557321
3.083,41.28406137
3.084,41.69989656
3.085,42.2029426
3.086,42.73276598
3.087,43.28765038
3.088,43.80539801
3.089,44.16262201
3.09,44.24524791
3.091,44.20651951
3.092,43.97984329
3.093,43.35735491
3.094,42.4946216
3.095,41.54187756
3.096,40.49327163
3.097,39.51609484
3.098,38.69635639
3.099,38.06893847
3.1,37.58612033
3.101,37.22054641
3.102,37.04989287
3.103,37.16526857
3.104,37.4928497
3.105,38.09534065
3.106,38.96002199
3.107,39.89926534
3.108,40.80079049
3.109,41.732096
3.11,42.59371376
3.111,43.35791629
3.112,44.02514349
3.113,44.62642797
3.114,45.20080234
3.115,45.76760235
3.116,46.34214321
3.117,46.99696114
3.118,47.60306411
3.119,48.05885313
3.12,48.38757966
3.121,48.5637633
3.122,48.51918741
3.123,48.24558742
3.124,47.71838409
3.125,46.91148902
3.126,45.71572972
3.127,44.1150309
3.128,42.54389132
3.129,41.06996914
3.13,39.86914362
3.131,39.19264857
3.132,38.98835189
3.133,39.01212452
3.134,39.14146839
3.135,39.20011932
3.136,39.10816137
3.137,39.11131195
3.138,39.6416559
3.139,40.77744272
3.14,42.12186618
3.141,43.23554183
3.142,43.93161173
3.143,43.86040759
3.144,43.08599748
3.145,41.84359587
3.146,40.81202973
3.147,40.01278505
3.148,39.5726959
3.149,39.49072029
3.15,39.27004945
3.151,38.63849381
3.152,37.85289903
3.153,37.29561559
3.154,37.07404656
3.155,37.52117267
3.156,38.63647457
3.157,40.19835903
3.158,42.05531554
3.159,43.55648973
3.16,44.67007761
3.161,45.41971707
3.162,45.93932522
3.163,46.40127523
3.164,46.76494388
3.165,46.99088855
3.166,47.27261751
3.167,47.60501276
3.168,47.84622267
3.169,47.80881033
3.17,47.59740911
3.171,47.03225316
3.172,46.30868568
3.173,45.59170296
3.174,45.07745644
3.175,44.7624294
3.176,44.66900926
3.177,44.81263007
3.178,44.92212612
3.179,44.75038186
3.18,44.18020562
3.181,43.5058828
3.182,42.99915248
3.183,42.62282675
3.184,42.50726217
3.185,42.67427943
3.186,42.95667426
3.187,43.15727917
3.188,43.20732548
3.189,43.03372842
3.19,42.65458017
3.191,42.23210014
3.192,41.81354943
3.193,41.56835772
3.194,41.34797865
3.195,41.14745672
3.196,41.09081706
3.197,41.130146
3.198,41.08988758
3.199,40.94150771
3.2,40.64294103
3.201,40.19292539
3.202,39.66068025
3.203,39.19149043
3.204,38.71335607
3.205,38.39182987
3.206,38.09905434
3.207,37.79213923
3.208,37.43402082
3.209,37.00413953
3.21,36.54397654
3.211,36.24833682
3.212,36.16523404
3.213,36.32278736
3.214,36.78157755
3.215,37.45829757
3.216,38.14629471
3.217,38.94383988
3.218,39.73320539
3.219,40.34403846
3.22,40.54117305
3.221,40.8892918
3.222,41.36026782
3.223,41.92982956
3.224,42.72415231
3.225,43.91560677
3.226,45.52311562
3.227,47.0444139
3.228,48.3698186
3.229,49.49952721
3.23,50.25913117
3.231,50.60673048
3.232,50.74036406
3.233,50.85265743
3.234,50.50979838
3.235,49.95846914
3.236,49.26180614
3.237,48.37004128
3.238,47.15961622
3.239,45.51576168
3.24,43.90407268
3.241,42.39521557
3.242,40.99884408
3.243,39.76923842
3.244,38.84224765
3.245,38.29919481
3.246,38.19285287
3.247,38.31506041
3.248,38.56545355
3.249,38.75191681
3.25,38.78417771
3.251,38.70780982
3.252,38.74036608
3.253,38.90014471
3.254,39.04261997
3.255,39.12039039
3.256,39.24825305
3.257,39.4274232
3.258,39.59437909
3.259,39.88166196
3.26,40.29388284
3.261,40.77898027
3.262,41.47492204
3.263,42.39243839
3.264,43.50801855
3.265,44.77105489
3.266,46.07048557
3.267,47.45037841
3.268,48.91298858
3.269,50.16592674
3.27,51.07143779
3.271,51.72214727
3.272,52.10229216
3.273,52.19674694
3.274,52.02414264
3.275,51.62961721
3.276,50.88305016
3.277,49.64103368
3.278,48.08166353
3.279,46.54971532
3.28,45.13290916
3.281,43.80762203
3.282,42.65024118
3.283,41.69611412
3.284,40.80647161
3.285,39.94417835
3.286,39.18100809
3.287,38.55546547
3.288,37.91038351
3.289,37.19710577
3.29,36.4995943
3.291,35.83495235
3.292,35.07596908
3.293,34.40645953
3.294,34.00146351
3.295,33.87902146
3.296,33.95488132
3.297,34.07004995
3.298,34.24172497
3.299,34.48802305
3.3,34.74981101
3.301,35.00881928
3.302,35.25386018
3.303,35.48996216
3.304,35.70539571
3.305,35.90341854
3.306,36.08112886
3.307,36.33166741
3.308,36.61647641
3.309,36.96125736
3.31,37.38011822
3.311,37.83803867
3.312,38.34964204
3.313,38.88455364
3.314,39.44160807
3.315,40.02009084
3.316,40.56779175
3.317,41.05035755
3.318,41.42602129
3.319,41.74273759
3.32,41.93798816
3.321,42.06564201
3.322,42.14106202
3.323,42.08710867
3.324,41.97868939
3.325,41.78857192
3.326,41.5236234
3.327,41.24000691
3.328,40.95888309
3.329,40.67968816
3.33,40.40173458
3.331,40.12514169
3.332,39.86009974
3.333,39.61000607
3.334,39.3882657
3.335,39.18092622
3.336,39.00039942
3.337,38.83478378
3.338,38.67676035
3.339,38.52037634
3.34,38.36485844
3.341,38.21025225
3.342,38.12771501
3.343,38.09773566
3.344,38.16747956
3.345,38.34062583
3.346,38.5655744
3.347,38.86654648
3.348,39.1833198
3.349,39.51363704
3.35,39.87179278
3.351,40.24359804
3.352,40.63709031
3.353,41.0359369
3.354,41.43552524
3.355,41.83116136
3.356,42.22279957
3.357,42.61165663
3.358,42.98132018
3.359,43.34389909
3.36,43.69629383
3.361,44.03452128
3.362,44.35825933
3.363,44.64402966
3.364,44.88847042
3.365,45.10646075
3.366,45.26329235
3.367,45.38760829
3.368,45.4739893
3.369,45.44595672
3.37,45.36303105
3.371,45.18320611
3.372,44.92205887
3.373,44.62283633
3.374,44.30670832
3.375,43.99541168
3.376,43.68870483
3.377,43.39083831
3.378,43.09877174
3.379,42.81683169
3.38,42.54107199
3.381,42.26872202
3.382,42.00340414
3.383,41.7337057
3.384,41.46062228
3.385,41.18743465
3.386,40.91420341
3.387,40.64090678
3.388,40.36636005
3.389,40.09686541
3.39,39.84819771
3.391,39.61893132
3.392,39.40261413
3.393,39.21758508
3.394,39.05041028
3.395,38.90634098
3.396,38.80073303
3.397,38.71377057
3.398,38.66060043
3.399,38.64666655
3.4,38.65394908
3.401,38.68041092
3.402,38.71699357
3.403,38.76422968
3.404,38.88273713
3.405,39.04268927
3.406,39.27756505
3.407,39.59012274
3.408,39.94570508
3.409,40.38633332
3.41,40.87673684
3.411,41.4098049
3.412,42.03672229
3.413,42.70260867
3.414,43.42902371
3.415,44.10437261
3.416,44.75280376
3.417,45.34821593
3.418,45.90552525
3.419,46.43632826
3.42,46.8622671
3.421,47.23821993
3.422,47.54231784
3.423,47.74646279
3.424,47.90527456
3.425,47.9858581
3.426,47.99742143
3.427,47.96461107
3.428,47.82593684
3.429,47.64260702
3.43,47.40717901
3.431,47.10683749
3.432,46.76497297
3.433,46.34171274
3.434,45.83997996
3.435,45.29809288
3.436,44.71002687
3.437,44.11168479
3.438,43.50358046
3.439,42.87698025
3.44,42.25120234
3.441,41.63015169
3.442,41.1479321
3.443,40.74230484
3.444,40.49463515
3.445,40.33650911
3.446,40.2475759
3.447,40.27840475
3.448,40.36508877
3.449,40.53609844
3.45,40.81600914
3.451,41.13860213
3.452,41.51768796
3.453,41.92437788
3.454,42.34947031
3.455,42.81826107
3.456,43.28335174
3.457,43.74365407
3.458,44.11237324
3.459,44.43669372
3.46,44.68054727
3.461,44.87740688
3.462,45.04627356
3.463,45.16118874
3.464,45.24360293
3.465,45.29180555
3.466,45.28348845
3.467,45.257157
3.468,45.20482689
3.469,45.11308496
3.47,44.9988238
3.471,44.8367178
3.472,44.66850193
3.473,44.49504902
3.474,44.37264656
3.475,44.2316407
3.476,44.05248686
3.477,43.84904776
3.478,43.64665536
3.479,43.48235337
3.48,43.34618929
3.481,43.2295994
3.482,43.15432927
3.483,43.0979616
3.484,43.06876622
3.485,43.09268362
3.486,43.14315372
3.487,43.24340468
3.488,43.33741821
3.489,43.42386771
3.49,43.43500252
3.491,43.40950371
3.492,43.34126567
3.493,43.21092462
3.494,43.0406094
3.495,42.79178888
3.496,42.46727684
3.497,42.10049009
3.498,41.65815548
3.499,41.20680877
3.5,40.74690055
3.501,40.28029971
3.502,39.84849674
3.503,39.48740493
3.504,39.17898621
3.505,38.89458368
3.506,38.64237295
3.507,38.41162031
3.508,38.1974489
3.509,38.02241396
3.51,37.87579594
3.511,37.77299712
3.512,37.72678947
3.513,37.70355048
3.514,37.71272393
3.515,37.72532407
3.516,37.74037217
3.517,37.76705903
3.518,37.79894936
3.519,37.8375736
3.52,37.89322794
3.521,37.95468309
3.522,38.02398107
3.523,38.10030803
3.524,38.18264626
3.525,38.29494579
3.526,38.39451674
3.527,38.4806892
3.528,38.54341495
3.529,38.5876994
3.53,38.59652006
3.531,38.54003354
3.532,38.44630751
3.533,38.27381623
3.534,38.05303917
3.535,37.79087432
3.536,37.46884836
3.537,37.12191121
3.538,36.73626788
3.539,36.30418506
3.54,35.85065225
3.541,35.36275076
3.542,34.89354362
3.543,34.43734124
3.544,34.14355562
3.545,33.90420475
3.546,33.74310384
3.547,33.6357449
3.548,33.55517139
3.549,33.5246958
3.55,33.54027974
3.551,33.58800995
3.552,33.75326962
3.553,33.96479663
3.554,34.23030223
3.555,34.58319304
3.556,34.95594828
3.557,35.34655646
3.558,35.76239204
3.559,36.1931767
3.56,36.65665931
3.561,37.13735049
3.562,37.63438982
3.563,38.1389087
3.564,38.64675197
3.565,39.15999742
3.566,39.67734304
3.567,40.19456583
3.568,40.70333683
3.569,41.20554241
3.57,41.70267472
3.571,42.06109775
3.572,42.37781331
3.573,42.63363732
3.574,42.85175779
3.575,43.05042
3.576,43.21138496
3.577,43.36132352
3.578,43.50261322
3.579,43.57712258
3.58,43.62175709
3.581,43.62773001
3.582,43.58108915
3.583,43.54991076
3.584,43.59131531
3.585,43.72142442
3.586,43.90611974
3.587,44.21362208
3.588,44.54204365
3.589,44.89248547
3.59,45.25869641
3.591,45.63211523
3.592,46.01769685
3.593,46.3988463
3.594,46.77650878
3.595,47.14230008
3.596,47.50076191
3.597,47.85294134
3.598,48.1912531
3.599,48.51522279
3.6,48.81492021
3.601,49.08212859
3.602,49.33201005
3.603,49.54723914
3.604,49.72311452
3.605,49.87161342
3.606,49.92805192
3.607,49.79870917
3.608,49.44500151
3.609,48.74643181
3.61,47.7040967
3.611,46.36022688
3.612,44.96204259
3.613,43.55016448
3.614,42.14548473
3.615,40.86033707
3.616,39.76147285
3.617,38.84617396
3.618,38.10490122
3.619,37.53491495
3.62,37.13434736
3.621,36.85885852
3.622,36.62076765
3.623,36.4159738
3.624,36.26568432
3.625,36.22228329
3.626,36.31222169
3.627,36.54932724
3.628,36.92996241
3.629,37.42875509
3.63,38.0452048
3.631,38.71183732
3.632,39.35242575
3.633,39.95512876
3.634,40.50379166
3.635,40.9861048
3.636,41.40175794
3.637,41.76533315
3.638,42.17831517
3.639,42.68940016
3.64,43.29857806
3.641,44.05557775
3.642,44.97237638
3.643,46.04619642
3.644,47.27986422
3.645,48.63850834
3.646,50.11296139
3.647,51.67949961
3.648,53.31023069
3.649,55.00122895
3.65,56.75249101
3.651,58.34974369
3.652,59.76506785
3.653,60.9979286
3.654,62.08189446
3.655,63.02739399
3.656,63.83627593
3.657,64.52623594
3.658,65.08043973
3.659,65.49568028
3.66,65.75672318
3.661,65.75869329
3.662,65.46550918
3.663,64.87980949
3.664,64.02637212
3.665,62.9566597
3.666,61.67393607
3.667,60.29208263
3.668,59.09660672
3.669,58.10797998
3.67,57.30275374
3.671,56.61647704
3.672,56.01692478
3.673,55.48308208
3.674,54.92443749
3.675,54.25843605
3.676,53.4851966
3.677,52.64569322
3.678,51.79231305
3.679,50.93207988
3.68,50.06682013
3.681,49.20430791
3.682,48.34954625
3.683,47.49630032
3.684,46.57878058
3.685,45.55799902
3.686,44.43396579
3.687,43.28456914
3.688,42.15907181
3.689,41.06245975
3.69,40.02762648
3.691,39.11535839
3.692,38.34176625
3.693,37.71568091
3.694,37.27240627
3.695,37.0196154
3.696,36.95728675
3.697,37.08291995
3.698,37.39857999
3.699,37.90453405
3.7,38.49626487
3.701,39.01055203
3.702,39.43839536
3.703,39.77186066
3.704,39.84079682
3.705,39.63544127
3.706,39.177901
3.707,38.70630157
3.708,38.33223235
3.709,38.05507246
3.71,37.86459868
3.711,37.72749519
3.712,37.64375448
3.713,37.64233146
3.714,37.80742173
3.715,38.02425791
3.716,38.12236505
3.717,38.22948429
3.718,38.455155
3.719,38.79793729
3.72,39.26649453
3.721,39.88028183
3.722,40.6392857
3.723,41.48132765
3.724,42.28001719
3.725,42.9820074
3.726,43.61002544
3.727,44.22737628
3.728,44.87232577
3.729,45.54487141
3.73,46.11389964
3.731,46.51115934
3.732,46.92706376
3.733,47.44748443
3.734,48.04154901
3.735,48.69984712
3.736,49.41473873
3.737,50.16125234
3.738,50.93046024
3.739,51.72235952
3.74,52.42651109
3.741,52.97244543
3.742,53.35018161
3.743,53.51697982
3.744,53.38451015
3.745,52.93834557
3.746,52.17993704
3.747,51.35565421
3.748,50.49467968
3.749,49.5972995
3.75,48.72569688
3.751,47.92575221
3.752,47.19828267
3.753,46.57702789
3.754,46.1665429
3.755,45.96680609
3.756,45.9728352
3.757,46.14855313
3.758,46.48724509
3.759,46.9822391
3.76,47.59381621
3.761,48.28196204
3.762,49.04646346
3.763,49.8580125
3.764,50.63654298
3.765,51.38205772
3.766,52.07545371
3.767,52.66405204
3.768,53.12355991
3.769,53.45355379
3.77,53.65214166
3.771,53.7175724
3.772,53.64985951
3.773,53.44363189
3.774,53.09061677
3.775,52.58865399
3.776,51.95236266
3.777,51.21574388
3.778,50.39623084
3.779,49.49337953
