Age_Ma,GR_gAPI
2.967,39.57788543
2.968,40.05767036
2.969,40.5739329
2.97,41.08733138
2.971,41.63262138
2.972,42.17257259
2.973,42.65782161
2.974,42.93662678
2.975,42.97383863
2.976,42.84216052
2.977,42.50487439
2.978,42.03370946
2.979,41.47764959
2.98,40.94522199
2.981,40.44777546
2.982,39.95229133
2.983,39.47093684
2.984,38.94161562
2.985,38.33957278
2.986,37.72381432
2.987,37.13642447
2.988,36.57822785
2.989,36.13367093
2.99,35.75415638
2.991,35.41361932
2.992,34.97037598
2.993,34.53724911
2.994,34.1572566
2.995,33.72170849
2.996,33.31229906
2.997,32.95539182
2.998,32.73448017
2.999,32.55255722
3,32.38688965
3.001,32.30884406
3.002,32.34056524
3.003,32.48164418
3.004,32.72931377
3.005,33.1573417
3.006,33.77537816
3.007,34.68132956
3.008,35.80262961
3.009,37.12832419
3.01,38.47291978
3.011,39.85264079
3.012,41.27306569
3.013,42.60355704
3.014,43.66573868
3.015,44.44754053
3.016,45.07900442
3.017,45.51892344
3.018,45.76303495
3.019,45.813969
3.02,45.78773267
3.021,45.69082647
3.022,45.44864291
3.023,45.20935163
3.024,44.98037388
3.025,44.86028026
3.026,44.75976704
3.027,44.67487812
3.028,44.54636492
3.029,44.26112058
3.03,43.81556564
3.031,43.36174828
3.032,42.96122989
3.033,42.61543524
3.034,42.38831282
3.035,42.24209334
3.036,42.17567615
3.037,42.07346011
3.038,42.14534063
3.039,42.3965547
3.04,42.66925435
3.041,42.92709058
3.042,43.1693698
3.043,43.4963059
3.044,43.60951903
3.045,43.50138364
3.046,43.27945663
3.047,42.88711891
3.048,42.32270551
3.049,41.53678427
3.05,40.91769514
3.051,40.47789932
3.052,40.25941709
3.053,40.24715228
3.054,40.44047463
3.055,40.62297786
3.056,40.62002372
3.057,40.42406654
3.058,40.06405655
3.059,39.46112828
3.06,38.61106269
3.061,37.81621364
3.062,37.32471206
3.063,37.15184413
3.064,37.35780266
3.065,37.85521713
3.066,38.63730494
3.067,39.31428643
3.068,39.76492918
3.069,39.9794912
3.07,39.97416153
3.071,39.88666187
3.072,39.73150851
3.073,39.67809014
3.074,39.76441751
3.075,39.99425177
3.076,40.44715465
3.077,41.02348956
3.078,41.70822983
3.079,42.26087653
3.08,42.56074318
3.081,42.59018754
3.082,42.43825626
3.083,42.15385234
3.084,41.74515104
3.085,41.32093387
3.086,41.02129011
3.087,40.87525574
3.088,40.74572036
3.089,40.52972648
3.09,40.20466593
3.091,39.74009809
3.092,39.21071382
3.093,38.63947792
3.094,38.13025053
3.095,37.73883403
3.096,37.47884625
3.097,37.45564594
3.098,37.53777927
3.099,37.66844129
3.1,37.80549811
3.101,37.95799491
3.102,38.13338924
3.103,38.20136426
3.104,38.21079512
3.105,38.20018361
3.106,38.2579781
3.107,38.36608265
3.108,38.50158027
3.109,38.58601671
3.11,38.63660421
3.111,38.67912521
3.112,38.67277812
3.113,38.64023813
3.114,38.60813398
3.115,38.7255544
3.116,38.90091129
3.117,39.00956262
3.118,39.03432674
3.119,38.99995654
3.12,38.93756672
3.121,38.76925604
3.122,38.47180754
3.123,38.0622837
3.124,37.58141109
3.125,37.07744865
3.126,36.58332317
3.127,36.05887267
3.128,35.49979371
3.129,34.9388318
3.13,34.33968187
3.131,33.66704802
3.132,32.90523312
3.133,32.20260514
3.134,31.7622488
3.135,31.75531139
3.136,32.14952075
3.137,32.87345563
3.138,33.8189412
3.139,34.97068243
3.14,36.27639164
3.141,37.61617342
3.142,38.96468364
3.143,40.26951966
3.144,41.4428582
3.145,42.46324981
3.146,43.31915563
3.147,44.14686195
3.148,44.95505237
3.149,45.75663207
3.15,46.52179287
3.151,47.17207726
3.152,47.53811182
3.153,47.66752496
3.154,47.60060666
3.155,47.44550652
3.156,47.12737675
3.157,46.68036123
3.158,46.22434642
3.159,45.78083647
3.16,45.37084398
3.161,45.08219314
3.162,44.878901
3.163,44.73485083
3.164,44.51377383
3.165,44.23152434
3.166,43.89429406
3.167,43.53190145
3.168,43.09920301
3.169,42.62545718
3.17,42.20505373
3.171,41.77654354
3.172,41.31487825
3.173,40.89492571
3.174,40.56776742
3.175,40.36015939
3.176,40.25057723
3.177,40.17298626
3.178,40.08273079
3.179,40.0157797
3.18,40.00088451
3.181,40.05924577
3.182,40.1750083
3.183,40.35217611
3.184,40.59920075
3.185,40.96121758
3.186,41.36705903
3.187,41.61498472
3.188,41.76646087
3.189,41.81548768
3.19,41.70061609
3.191,41.37188315
3.192,40.84711312
3.193,40.24774317
3.194,39.63826721
3.195,39.08980064
3.196,38.70816509
3.197,38.46950908
3.198,38.34992486
3.199,38.33144873
3.2,38.40668518
3.201,38.56408122
3.202,38.75441045
3.203,39.01776611
3.204,39.41391156
3.205,39.89526261
3.206,40.49221468
3.207,41.26621544
3.208,42.09691627
3.209,42.92820668
3.21,43.63868078
3.211,44.2488417
3.212,44.73621831
3.213,44.99499691
3.214,45.06783562
3.215,44.9708498
3.216,44.7220126
3.217,44.40868424
3.218,44.07454596
3.219,43.76881322
3.22,43.35376348
3.221,42.7388974
3.222,41.97181385
3.223,41.08955606
3.224,40.12533699
3.225,39.19949102
3.226,38.39602502
3.227,37.80686102
3.228,37.41147728
3.229,37.2352968
3.23,37.33117129
3.231,37.65643047
3.232,38.14275476
3.233,38.64382214
3.234,39.07229083
3.235,39.36967283
3.236,39.45804735
3.237,39.47516061
3.238,39.51699002
3.239,39.63298056
3.24,39.78675302
3.241,39.9475208
3.242,40.33857354
3.243,40.88741314
3.244,41.50208265
3.245,42.10521973
3.246,42.66073459
3.247,43.11575058
3.248,43.54256195
3.249,43.94738227
3.25,44.31548827
3.251,44.71032411
3.252,45.17249324
3.253,45.77992874
3.254,46.428414
3.255,47.05446888
3.256,47.60864691
3.257,48.14919972
3.258,48.72196633
3.259,49.10364876
3.26,49.28735682
3.261,49.26467192
3.262,49.11298396
3.263,48.87329743
3.264,48.60882547
3.265,48.24729634
3.266,47.84955037
3.267,47.61260957
3.268,47.47301073
3.269,47.41979758
3.27,47.51872426
3.271,47.72328996
3.272,47.98710456
3.273,48.2288783
3.274,48.39036889
3.275,48.42332986
3.276,48.19327395
3.277,47.78673576
3.278,47.34666082
3.279,47.12515634
3.28,47.13553658
3.281,47.31456473
3.282,47.53607749
3.283,47.74238285
3.284,47.89748878
3.285,47.98764017
3.286,47.99290688
3.287,47.84753379
3.288,47.65581414
3.289,47.47901445
3.29,47.39841056
3.291,47.44104865
3.292,47.64617594
3.293,48.14827257
3.294,48.87205044
3.295,49.69330383
3.296,50.35991383
3.297,50.82588548
3.298,51.09859387
3.299,51.30420779
3.3,51.48721539
3.301,51.63347567
3.302,51.75675782
3.303,51.8652454
3.304,52.07381497
3.305,52.43446994
3.306,52.99032489
3.307,53.66714026
3.308,54.42333681
3.309,55.21964297
3.31,55.91572903
3.311,56.45217048
3.312,56.81869211
3.313,56.96872353
3.314,56.86936128
3.315,56.51331175
3.316,56.01357085
3.317,55.49490875
3.318,54.97147359
3.319,54.40767758
3.32,53.73884557
3.321,52.85012239
3.322,51.78402292
3.323,50.7005265
3.324,49.6738433
3.325,48.71512173
3.326,47.79607033
3.327,47.05701003
3.328,46.55301713
3.329,46.26608487
3.33,46.13008803
3.331,46.01856314
3.332,45.98092442
3.333,45.9127882
3.334,45.69045945
3.335,45.39347978
3.336,45.08794996
3.337,44.83855278
3.338,44.71413273
3.339,44.71398113
3.34,44.67811899
3.341,44.54324538
3.342,44.23853421
3.343,43.79229479
3.344,43.21672039
3.345,42.53685897
3.346,41.77069322
3.347,41.04729179
3.348,40.59292175
3.349,40.35811299
3.35,40.32759315
3.351,40.39095808
3.352,40.46867357
3.353,40.53023381
3.354,40.67085202
3.355,40.82998052
3.356,40.96021001
3.357,41.07392678
3.358,41.23791174
3.359,41.52634695
3.36,41.88790864
3.361,42.2817011
3.362,42.68268685
3.363,43.10001297
3.364,43.52646162
3.365,43.89348318
3.366,44.15594983
3.367,44.23935201
3.368,44.25409175
3.369,44.1880192
3.37,43.99634234
3.371,43.58386599
3.372,42.95466854
3.373,42.27812892
3.374,41.54187756
3.375,40.74245091
3.376,39.96376566
3.377,39.26428001
3.378,38.6726929
3.379,38.18152458
3.38,37.77943132
3.381,37.45724633
3.382,37.19996381
3.383,37.04368184
3.384,37.06956115
3.385,37.24046725
3.386,37.52726549
3.387,37.97474513
3.388,38.57772271
3.389,39.31291364
3.39,40.01095138
3.391,40.68564081
3.392,41.40532631
3.393,42.08609651
3.394,42.72061807
3.395,43.29525024
3.396,43.81746732
3.397,44.28945861
3.398,44.73283934
3.399,45.16621101
3.4,45.59860272
3.401,46.02110179
3.402,46.46699265
3.403,46.97754513
3.404,47.46294542
3.405,47.852164
3.406,48.1561186
3.407,48.38757966
3.408,48.55350446
3.409,48.58556334
3.41,48.48185095
3.411,48.23574311
3.412,47.86090655
3.413,47.35189778
3.414,46.61788319
3.415,45.6372816
3.416,44.40651994
3.417,43.19198226
3.418,42.03467701
3.419,40.93841806
3.42,40.00001943
3.421,39.34564039
3.422,39.05142535
3.423,38.9763379
3.424,38.99686384
3.425,39.09224311
3.426,39.19479577
3.427,39.20145021
3.428,39.11904996
3.429,39.02831172
3.43,39.2169486
3.431,39.77577399
3.432,40.692893
3.433,41.74976446
3.434,42.68001876
3.435,43.45157858
3.436,43.9289044
3.437,43.99658752
3.438,43.61830995
3.439,42.83549749
3.44,41.84359587
3.441,41.03023064
3.442,40.34835279
3.443,39.82402819
3.444,39.56222372
3.445,39.50335536
3.446,39.45823011
3.447,39.14459568
3.448,38.59448495
3.449,37.96877245
3.45,37.48596652
3.451,37.14605415
3.452,37.06422734
3.453,37.37627336
3.454,38.10076993
3.455,39.13097116
3.456,40.40167101
3.457,41.85842332
3.458,43.08899972
3.459,44.06293724
3.46,44.8218627
3.461,45.37106767
3.462,45.77647933
3.463,46.14658362
3.464,46.48170416
3.465,46.75074265
3.466,46.92825794
3.467,47.08483446
3.468,47.34564425
3.469,47.59546927
3.47,47.83405659
3.471,47.86785126
3.472,47.78102636
3.473,47.59740911
3.474,47.20001307
3.475,46.67576335
3.476,46.10220449
3.477,45.57043207
3.478,45.16011958
3.479,44.86489409
3.48,44.69411962
3.481,44.66682575
3.482,44.78209912
3.483,44.90931138
3.484,44.93219485
3.485,44.72558919
3.486,44.28951796
3.487,43.74295625
3.488,43.28704576
3.489,42.94431567
3.49,42.64781555
3.491,42.49163554
3.492,42.52419102
3.493,42.71180154
