Depth_mbrt,GR_gAPI
559,45.19785131
559.2,41.29734909
559.4,39.02111121
559.6,44.36965202
559.8,55.63249404
560,56.01304589
560.2,50.87738193
560.4,44.78789522
560.6,40.09379486
560.8,32.58323876
561,32.21784948
561.2,37.23345033
561.4,40.47886476
561.6,37.59304928
561.8,37.34984839
562,43.43966262
562.2,46.39450063
562.4,46.00121943
562.6,48.47627416
562.8,56.82666617
563,69.26989439
563.2,75.53178062
563.4,65.13881813
563.6,60.06914946
563.8,60.8160371
564,57.09300548
564.2,51.49860936
564.4,52.44164695
564.6,52.12508367
564.8,46.97464638
565,42.86736473
565.2,37.68787522
565.4,32.95209787
565.6,34.22472027
565.8,36.69933644
566,43.07539743
566.2,48.37199668
566.4,38.909723
566.6,25.05911643
566.8,32.91883991
567,42.2529406
567.0984456,50.37037037
567.2,48.83926108
567.4,45.90583683
567.6,40.05183282
567.8,42.58194013
568,53.46087498
568.2,57.49139268
568.4,58.10711191
568.6,53.4978679
568.8,46.71624487
569,40.23466054
569.2,42.25496605
569.4,46.82236578
569.6,53.89557253
569.8,56.1447733
570,53.90113191
570.2,54.09167846
570.4,51.49559641
570.6,51.18156877
570.8,45.15246303
571,38.29308162
571.1139896,35.55555556
571.2,39.16613003
571.4,43.3848862
571.6,40.76565712
571.8,35.73296358
572,33.95190667
572.2,40.3405727
572.4,38.63751706
572.6,33.53423812
572.6683938,29.62962963
572.8,32.62923226
573,35.51689501
573.2,37.08438485
573.4,32.39149595
573.6,33.45558877
573.8,42.96811073
574,45.45414798
574.2,42.06941012
574.4,32.62765057
574.6,34.03106518
574.8,38.68514292
575,44.2980937
575.2,48.48800008
575.4,50.32563285
575.6,54.88500643
575.8,56.41756061
576,49.60680822
576.2,49.18159794
576.4,47.88105355
576.6,40.42656907
576.8,38.55843443
577,41.2808153
577.2,41.84315805
577.2020725,38.51851852
577.4,50.12003097
577.6,48.62031931
577.8,42.35903637
578,42.30060013
578.2,39.01463944
578.4,35.91015827
578.6,40.6860796
578.8,40.76762104
579,35.43503262
579.2,34.36270309
579.4,34.49091641
579.6,34.54498472
579.8,31.29518288
580,30.33816476
580.2,36.95894507
580.4,49.88501968
580.6,58.74257979
580.8,57.00981312
581,52.54921456
581.2,46.67989161
581.4,44.07040896
581.6,50.61880784
581.8,51.78575615
582,48.0284875
582.2,46.93606434
582.4,50.64399732
582.6,39.54655512
582.8,34.46754589
583,39.66331326
583.2,47.77449336
583.4,42.40725882
583.6,44.58192992
583.8,47.83029703
584,47.0280071
584.2,48.27772785
584.4,46.09582332
584.6,44.11470233
584.8,35.883069
585,32.34733348
585.2,28.77243999
585.4,35.18854196
585.6,46.558968
585.6217617,51.85185185
585.8,49.84372423
586,40.19201905
586.2,35.91718433
586.4,38.58159273
586.6,44.06760051
586.8,47.97265951
587,45.4773947
587.2,42.16160164
587.4,36.8067584
587.6,33.38456402
587.8,43.50515389
588,53.3641064
588.2,47.07067918
588.4,38.65943293
588.6,38.69398472
588.8,38.01820135
589,42.30572013
589.2,47.06211566
589.4,46.37365769
589.6,46.1333422
589.8,44.8713977
590,48.48572735
590.2,50.47989379
590.4,55.98490383
590.6,56.22538985
590.8,57.22278404
591,54.37634374
591.2,44.30055123
591.4,42.82151487
591.6,45.85377534
591.8,41.61613878
592,39.35650235
592.2,34.35497343
592.4,34.0563885
592.6,38.89342312
592.8,40.27236002
593,38.51924469
593.2,41.01116168
593.4,39.9517895
593.6,40.60411756
593.8,39.45069637
593.9119171,44.44444444
594,38.83574536
594.2,35.44675705
594.4,34.43134723
594.6,35.89860875
594.8,31.73370333
594.9481865,29.62962963
595,32.82202107
595.2,44.52680844
595.4,55.40694718
595.6,55.91803238
595.8,52.84892791
596,49.89251848
596.2,47.47758602
596.4,50.59176979
596.6,49.97823351
596.8,47.85612344
596.8911917,41.48148148
597,46.27447114
597.2,61.95894156
597.4,73.45027854
597.6,64.86377952
597.8,50.23145838
598,41.23713118
598.2,31.49461498
598.3160622,28.14814815
598.4,31.52582566
598.6,43.34957826
598.8,49.38996732
599,48.52855688
599.2,51.93687284
599.4,41.70853728
599.6,37.58888331
599.8,41.08346433
600,39.92808611
600.2,40.98844589
600.4,42.67236153
600.6,41.84688505
600.8,35.10341097
601,29.58615841
601.2,35.02488473
601.4,38.43901865
601.6,36.45723206
601.8,36.34712402
602,35.01637246
602.2,34.69469935
602.4,40.02120661
602.6,44.79048617
602.8,45.7340567
603,41.13624625
603.2,34.9643163
603.4,31.94178618
603.6,30.70694017
603.8,29.88105542
604,24.93744118
604.2,21.97855249
604.4,24.927795
604.6,27.12711993
604.8,29.63809821
605,39.11309457
605.2,40.44612253
605.4,33.22345302
605.6,29.97505845
605.8,28.44698604
606,24.28494993
606.2,28.4895697
606.4,41.48926362
606.6,43.38737754
606.8,33.3683569
607,23.54252528
607.2,30.65002862
607.4,37.81639598
607.6,41.94522615
607.8,45.0370628
608,44.74407232
608.2,43.59085465
608.4,36.69953441
608.6,37.68685506
608.8,41.5951354
609,40.88663239
609.2,36.58008446
609.4,38.10674605
609.6,39.55040504
609.8,37.82696359
610,36.79541725
610.2,34.73246943
610.4,37.36045533
610.492228,31.11111111
610.6,35.14067656
610.8,39.16215028
611,45.60075432
611.2,40.99055116
611.4,31.5018858
611.6,28.37468138
611.8,28.21934612
612,31.87365725
612.2,35.06203478
612.4,38.66140314
612.6,37.78216405
612.8,37.32268646
613,33.98870972
613.2,28.66144411
613.4,24.71276963
613.6,28.80346214
613.8,31.23923815
614,35.92248843
614.2,37.53242776
614.4,43.35879352
614.6,41.01007956
614.8,38.05819436
614.8963731,34.07407407
615,36.28191301
615.2,41.38272727
615.4,47.33499466
615.6,46.60037248
615.8,39.70711325
616,35.97821944
616.2,45.60001474
616.3212435,50.37037037
616.4,47.28159232
616.6,40.27238363
616.8,32.58401095
617,35.71129354
617.2,33.04713491
617.4,29.4037561
617.6,31.29396177
617.8,33.13838349
618,31.36966235
618.2,30.93429409
618.4,26.26599703
618.6,25.82063869
618.8,31.97749586
619,29.030062
619.2,29.95938739
619.4,35.70752601
619.6,38.2004589
619.8,34.8579343
620,33.62085211
620.2,36.17525863
620.4,35.40037089
620.6,31.38551511
620.8,29.97454018
621,25.73000018
621.2,31.62870412
621.4,42.95187951
621.6,51.41097443
621.8,45.03729209
622,42.8223081
622.2,35.11461096
622.4,32.07774667
622.6,40.95747091
622.8,44.10967924
623,37.79664299
623.2,36.23192301
623.4,37.44911198
623.6,39.68208301
623.8,34.38580503
624,32.62206803
624.2,29.92772978
624.4,31.14253573
624.6,40.06549706
624.8,45.03884644
625,43.9124088
625.2,38.8175331
625.4,38.9372912
625.6,36.7221114
625.8,31.6625165
626,35.3505262
626.2,39.6901878
626.4,39.6687059
626.6,38.1475065
626.8,27.3248732
627,26.0694936
627.2,32.3000396
627.4,30.42515
627.6,27.6390341
627.8,31.6425194
628,36.5340231
628.2,31.012737
628.4,24.8017678
628.6,28.5324209
628.8,31.1511261
629,31.5647427
629.2,38.5864388
629.4,43.8650886
629.6,41.8813322
629.8,37.9325022
630,33.3747967
630.2,35.759968
630.4,37.3532162
630.6,37.2233158
630.8,31.5548967
631,25.2289735
631.2,22.1292427
631.4,34.8039485
631.6,39.2979316
631.8,32.1565424
632,26.8922533
632.2,29.5467301
632.4,35.3432098
632.6,36.6911398
632.8,33.7598536
633,32.2525109
633.2,31.3072658
633.4,33.4159634
633.6,41.7864795
633.8,47.5952584
634,41.6054383
634.2,33.7226239
634.4,31.7607956
634.6,37.0089129
634.8,37.6579522
635,41.2274101
635.2,39.5964036
635.4,39.1139559
635.6,40.468767
635.8,39.3886142
636,39.4746786
636.2,36.9378792
636.4,38.7785004
636.6,44.1565217
636.8,44.7637943
637,40.8044965
637.2,40.9844663
637.4,34.2460195
637.6,37.8581536
637.8,43.7235365
638,46.2123513
638.2,40.5904821
638.4,39.1608
638.6,50.7662696
638.8,55.0019559
639,48.4030305
639.2,43.1299003
639.4,35.3646493
639.6,28.4472734
639.8,21.54111
640,33.7359344
640.2,44.86826
640.230375,52.5547445
640.4,45.5766532
640.6,34.5388
640.8,37.8996628
641,43.9078434
641.2,43.9942184
641.4,38.9258294
641.6,39.478737
641.8,41.2391655
642,36.4969498
642.2,35.3338674
642.4,39.020513
642.6,35.9141893
642.8,31.9583482
643,32.7923867
643.2,40.8417174
643.4,39.3360999
643.6,36.7209872
643.8,43.1211463
644,44.1373102
644.2,38.7376733
644.4,36.7105782
644.6,54.6470283
644.8,59.2585884
645,51.5195835
645.2,42.3877824
645.4,40.7188774
645.6,41.485299
645.8,43.3016556
646,42.9589791
646.2,40.6491773
646.4,40.4039172
646.6,46.2531103
646.8,54.5662178
647,47.5014928
647.2,47.2729457
647.4,44.4558506
647.6,38.7890067
647.8,41.523396
648,43.0880129
648.2,37.6353279
648.4,40.8256944
648.6,43.4201292
648.8,41.5069492
649,32.2797907
649.2,31.5960326
649.4,36.0885968
649.6,32.9863656
649.8,29.9728555
650,32.9231793
650.2,32.3371845
650.4,27.4436608
650.6,31.8540536
650.8,39.699238
651,36.5790563
651.2,33.8905863
651.4,32.899838
651.6,37.1538851
651.8,35.5131747
652,37.2068353
652.2,33.9440744
652.4,35.5654103
652.6,43.4179708
652.645051,45.2554745
652.8,37.7599773
