Record,Sample_ID,depth mbsf,age_tuned,tuning target,age model source,benthic d13C VPDB,benthic d18O VPDB,benthic Species,benthic Source,benthic d13C VPDB Corr,benthic d18O VPDB Corr,IsotopeCorrNote,benthic d13C VPDB CorrAdjusted,benthic d18O VPDB CorrAdjusted,benthic_CorrAdjusted_Note,benthic d13C smoothLoess10,benthic d18O smoothLoess10
U1490,"353-U1490A-26H-6,18-20",239.88,15.954,E+T+0.2P,Holbourn et al. 2024,1.75,1.33,CMUND,Holbourn et al. 2024,1.75,1.97,d18O +0.64‰; d13C +0.00‰,1.55,2.07,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,22-24",239.92,15.958,E+T+0.2P,Holbourn et al. 2024,1.77,1.49,CMUND,Holbourn et al. 2024,1.77,2.13,d18O +0.64‰; d13C +0.00‰,1.57,2.23,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,26-28",239.96,15.962,E+T+0.2P,Holbourn et al. 2024,1.71,1.35,CMUND,Holbourn et al. 2024,1.71,1.99,d18O +0.64‰; d13C +0.00‰,1.51,2.09,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,30-32",240,15.966,E+T+0.2P,Holbourn et al. 2024,1.67,1.19,CMUND,Holbourn et al. 2024,1.67,1.83,d18O +0.64‰; d13C +0.00‰,1.47,1.93,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,34-36",240.04,15.97,E+T+0.2P,Holbourn et al. 2024,1.73,1.28,CMUND,Holbourn et al. 2024,1.73,1.92,d18O +0.64‰; d13C +0.00‰,1.53,2.02,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,38-40",240.08,15.974,E+T+0.2P,Holbourn et al. 2024,1.78,1.26,CMUND,Holbourn et al. 2024,1.78,1.9,d18O +0.64‰; d13C +0.00‰,1.58,2,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,42-44",240.12,15.978,E+T+0.2P,Holbourn et al. 2024,1.73,1.14,CMUND,Holbourn et al. 2024,1.73,1.78,d18O +0.64‰; d13C +0.00‰,1.53,1.88,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,46-48",240.16,15.982,E+T+0.2P,Holbourn et al. 2024,1.82,1.16,CMUND,Holbourn et al. 2024,1.82,1.8,d18O +0.64‰; d13C +0.00‰,1.62,1.9,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,50-52",240.2,15.986,E+T+0.2P,Holbourn et al. 2024,1.74,1.12,CMUND,Holbourn et al. 2024,1.74,1.76,d18O +0.64‰; d13C +0.00‰,1.54,1.86,d18O +0.10‰; d13C -0.20‰,,
U1490,"353-U1490A-26H-6,54-56",240.24,15.99,E+T+0.2P,Holbourn et al. 2024,1.75,1.22,CMUND,Holbourn et al. 2024,1.75,1.86,d18O +0.64‰; d13C +0.00‰,1.55,1.96,d18O +0.10‰; d13C -0.20‰,,
