DEPTH_WMSF,HSGR
18.1356,3.6469
18.288,3.4433
18.4404,2.693
18.5928,2.1541
18.7452,2.5038
18.8976,2.6263
19.05,3.7266
19.2024,3.5965
19.3548,3.646
19.5072,2.764
19.6596,2.5991
19.812,2.4453
19.9644,2.9484
20.1168,3.6185
20.2692,4.6061
20.4216,4.7493
20.574,4.615
20.7264,3.8801
20.8788,3.8012
21.0312,3.6261
21.1836,4.5239
21.336,5.0066
21.4884,5.9471
21.6408,5.7719
21.7932,6.1209
21.9456,5.9249
22.098,6.0399
22.2504,5.3598
22.4028,6.4224
22.5552,6.4796
22.7076,6.9791
22.86,5.7538
23.0124,5.8947
23.1648,5.6816
23.3172,5.4177
23.4696,5.4159
23.622,4.8231
23.7744,5.3863
23.9268,5.2419
24.0792,5.616
24.2316,5.9534
24.384,5.7605
24.5364,5.3718
24.6888,4.5046
24.8412,5.2504
24.9936,6.6852
25.146,7.8009
25.2984,8.0459
25.4508,7.7724
25.6032,7.7845
25.7556,7.4558
25.908,7.6737
26.0604,7.8674
26.2128,8.2837
26.3652,6.9601
26.5176,6.2932
26.67,5.7202
26.8224,6.5849
26.9748,7.0483
27.1272,6.8797
27.2796,6.9038
27.432,5.6845
27.5844,4.2218
27.7368,3.2205
27.8892,2.6619
28.0416,3.4696
28.194,3.5092
28.3464,3.9856
28.4988,3.4012
28.6512,3.7366
28.8036,3.519
28.956,4.4348
29.1084,3.9271
29.2608,4.5487
29.4132,4.0509
29.5656,4.0896
29.718,3.8455
29.8704,4.3595
30.0228,4.8844
30.1752,3.8824
30.3276,3.4001
30.48,3.1478
30.6324,4.4601
30.7848,4.5248
30.9372,4.251
31.0896,4.4352
31.242,5.2947
31.3944,5.347
31.5468,4.635
31.6992,3.8698
31.8516,3.8637
32.004,4.205
32.1564,3.3761
32.3088,3.1304
32.4612,2.2155
32.6136,2.7895
32.766,3.1978
32.9184,3.2952
33.0708,3.1994
33.2232,3.0428
33.3756,3.5525
33.528,4.0684
33.6804,4.1741
33.8328,4.2909
33.9852,3.7753
34.1376,3.354
34.29,2.9966
34.4424,2.5808
34.5948,3.2788
34.7472,2.9975
34.8996,3.2636
35.052,2.7385
35.2044,2.8564
35.3568,2.6423
35.5092,2.9382
35.6616,3.7787
35.814,3.9835
35.9664,3.3158
36.1188,3.4212
36.2712,4.053
36.4236,5.1311
36.576,4.556
36.7284,4.2871
36.8808,4.21
37.0332,3.6912
37.1856,3.7014
37.338,3.8524
37.4904,4.4776
37.6428,4.6475
37.7952,4.1678
37.9476,4.1688
38.1,3.941
38.2524,3.9064
38.4048,3.7926
38.5572,3.3171
38.7096,3.3002
38.862,3.0455
39.0144,2.8888
39.1668,2.3059
39.3192,2.8058
39.4716,3.0371
39.624,3.748
39.7764,3.4574
39.9288,4.4324
40.0812,3.5922
40.2336,3.6347
40.386,2.532
40.5384,3.4927
40.6908,3.5438
40.8432,4.2359
40.9956,3.7767
41.148,3.2037
41.3004,2.6259
41.4528,3.1656
41.6052,4.0883
41.7576,4.9192
41.91,4.484
42.0624,4.6033
42.2148,3.9823
42.3672,4.2343
42.5196,3.7289
42.672,3.7727
42.8244,4.1477
42.9768,4.7697
43.1292,6.2942
43.2816,8.8264
43.434,10.7673
43.5864,12.264
43.7388,12.1288
43.8912,12.3672
44.0436,11.9094
44.196,11.4872
44.3484,11.5658
44.5008,11.2047
44.6532,13.1089
44.8056,13.698
44.958,15.182
45.1104,13.2181
45.2628,13.2398
45.4152,14.1731
45.5676,16.1412
45.72,13.7987
45.8724,10.0821
46.0248,6.306
46.1772,7.2368
46.3296,6.8411
46.482,7.521
46.6344,7.1261
46.7868,7.7693
46.9392,6.4795
47.0916,5.2177
47.244,4.9089
47.3964,4.8241
47.5488,4.1288
47.7012,4.0236
47.8536,3.998
48.006,5.1708
48.1584,5.2717
48.3108,5.5227
48.4632,5.2939
48.6156,4.4661
48.768,5.3556
48.9204,4.203
49.0728,5.0396
49.2252,4.5346
49.3776,5.6877
49.53,4.525
49.6824,4.1934
49.8348,3.6743
49.9872,5.303
