AGE_ka,GR_gAPI
570.6946881,9.879953417
571.4724475,8.367080646
572.2502069,8.475288651
573.0279662,9.151823339
574.583485,8.969069769
576.1390038,9.939007664
577.6945226,11.47528787
579.2500414,11.70625108
580.8055602,11.78397927
582.3610789,12.22008614
583.9165977,12.74920879
585.4721165,13.330929
587.0276353,13.41331071
588.5831541,13.34808386
590.1386728,13.27304412
591.6941916,13.28602189
593.2497104,13.24370157
594.8052292,12.64604488
596.360748,11.71329772
597.9162668,11.0860364
599.4717855,10.99676583
601.0273043,9.552543583
602.5828231,8.536339982
604.1383419,10.52939604
605.6938607,12.08616181
607.2493794,14.06697021
608.8048982,14.79152197
610.360417,13.35264063
611.9159358,12.33663202
613.4714546,12.44092176
615.0269734,12.75540748
616.5824921,12.6785784
618.1380109,12.81930656
619.6935297,14.89251528
621.2490485,14.46965302
622.8045673,12.69762375
624.360086,12.05021701
625.9156048,11.9473074
627.4711236,12.15225218
629.0266424,12.39634031
630.5821612,11.49665528
632.13768,10.527019
632.9154394,9.704957244
633.6931987,10.07380858
634.4709581,10.67694499
635.2487175,11.85084102
636.0264769,13.11373961
636.8042363,13.20223273
637.5819957,13.05660693
638.3597551,11.40701921
639.1375145,11.88097031
639.9152739,12.41190528
640.6930333,11.38422066
641.4707927,11.14609528
642.248552,10.85267165
643.0263114,11.23157218
643.8040708,11.87150013
644.5818302,11.5511585
645.3595896,8.982393955
646.137349,8.905597761
646.9151084,10.75058927
647.6928678,11.68091126
648.4706272,11.96535415
649.2483866,13.57237646
650.026146,14.05221396
650.8039053,13.02249333
651.5816647,13.04284016
652.3594241,12.48821601
653.1371835,11.386371
653.9149429,11.4442963
654.6927023,11.82728512
655.4704617,13.54731467
656.2482211,12.97821882
657.0259805,12.23109677
657.8037399,11.99639942
658.5814993,10.77219899
659.3592586,9.738482396
660.137018,10.48118228
660.9147774,11.22273346
661.6925368,11.44150717
663.2480556,11.95328234
664.8035744,12.81961205
666.3590932,13.24536664
667.9146119,13.42760769
669.4701307,13.14605433
671.0256495,13.43056843
672.5811683,12.85264927
674.1366871,13.50915276
675.6922059,13.35908349
676.4699652,12.79569105
677.2477246,12.42553465
678.025484,12.41120911
678.8032434,12.0398215
679.5810028,10.72393409
680.3587622,10.71652848
681.914281,11.22469761
683.4697998,10.93045709
685.0253186,10.79388885
686.5808373,12.25547919
688.1363561,14.44472118
689.6918749,16.77015294
