AGE(ka),GR(gAPI)
720.8022505,15.58484845
722.3577693,14.65810764
723.9132881,13.91629672
725.4688069,14.90594488
727.0243257,16.13831591
728.5798444,16.91358625
730.1353632,17.12976811
731.690882,16.29976189
733.2464008,16.87304945
734.8019196,17.37910186
736.3574384,15.53008016
737.9129571,14.76872467
739.4684759,15.8820706
741.0239947,15.70795465
742.5795135,14.72214299
744.1350323,15.27184706
745.6905511,16.88614024
747.2460698,17.08632617
748.8015886,17.69890811
750.3571074,18.22701661
751.9126262,17.18368066
753.468145,15.94765276
755.0236637,16.70326661
756.5791825,16.22589633
758.1347013,15.06392612
759.6902201,15.16706756
761.2457389,15.04861192
762.8012577,14.1284273
764.3567764,14.91837567
765.9122952,15.20389934
767.467814,14.87164549
769.0233328,15.37170244
770.5788516,15.45223698
772.1343703,16.23848596
773.6898891,17.24050323
775.2454079,16.96840937
776.8009267,16.80080664
778.3564455,16.71774307
779.9119643,16.52696766
781.467483,17.00737711
783.0230018,17.80399307
784.5785206,17.49968507
786.1340394,17.86947307
787.6895582,18.5402715
789.2450769,19.78395367
790.8005957,20.86572
792.3561145,21.64914567
793.9116333,22.90633045
795.4671521,21.95153554
797.0226709,20.38442346
798.5781896,19.43158184
800.1337084,19.79264722
801.6892272,21.00357504
803.244746,20.9788057
804.8002648,20.67907255
806.3557836,20.07063874
807.9113023,18.95717759
809.4668211,18.7689858
811.0223399,19.46961835
812.5778587,18.20365265
814.1333775,17.02452297
815.6888962,17.27113016
817.244415,17.1250001
818.7999338,16.25873732
820.3554526,16.77516724
821.9109714,16.72489955
823.4664902,16.10794102
825.0220089,16.09725575
826.5775277,16.54650698
828.1330465,16.15569438
829.6885653,16.11056717
831.2440841,17.12934163
832.7996028,17.08727318
834.3551216,17.77854969
835.9106404,17.85206961
837.4661592,17.63592136
839.021678,18.15448181
840.5771968,18.80285123
842.1327155,18.44025722
843.6882343,17.45865236
845.2437531,16.21533444
846.7992719,15.9742032
848.3547907,17.1195026
849.9103094,17.27822953
851.4658282,16.7479722
853.021347,16.31946709
854.5768658,16.36820441
856.1323846,17.04816399
857.6879034,18.23043764
859.2434221,19.12197402
860.7989409,19.41893969
862.3544597,20.72653614
863.9099785,20.95373207
865.4654973,19.96288388
867.0210161,20.66957079
868.5765348,20.97236181
870.1320536,19.91648885
871.6875724,19.81352087
873.2430912,20.68557856
874.79861,20.09731625
876.3541287,18.26031835
877.9096475,17.71237415
879.4651663,16.8805857
881.0206851,16.79608811
882.5762039,17.8077574
884.1317227,18.59619646
885.6872414,18.62051496
887.2427602,17.69129349
888.798279,16.85689425
890.3537978,17.43605496
891.9093166,17.77968892
893.4648353,17.59381759
895.0203541,17.24586283
896.5758729,17.95030472
898.1313917,18.42737457
899.6869105,17.54537071
901.2424293,17.38675722
902.797948,17.31395003
904.3534668,16.64598433
905.9089856,16.73111819
907.4645044,17.31381709
909.0200232,17.85160409
910.5176545,17.59798551
911.9167208,19.17397121
913.3157871,19.87082528
914.7148534,20.36941373
916.1139197,19.45478541
917.512986,18.39319591
918.9120523,18.98310304
920.3111186,18.76337496
921.7101849,17.54344236
923.1092512,16.78194257
924.5083175,16.57600286
925.9073838,18.48561724
927.30645,20.70717604
928.7055163,20.67181005
930.1045826,19.50248921
931.5036489,19.62342701
932.9027152,20.69914367
934.3017815,20.48640772
935.7008478,20.35302971
937.0999141,21.29558449
938.4989804,22.63738449
939.8980467,23.31403619
941.297113,21.95530955
942.6961793,20.90863386
944.0952456,20.9354458
945.4943119,21.70502861
946.8933782,22.01087354
948.2924444,21.16332123
949.6915107,19.66412803
951.090577,18.31989685
952.4896433,18.3081274
953.8887096,18.95484606
955.2877759,18.7885415
956.6868422,18.19445633
958.0859085,19.52564619
959.4849748,20.17448189
960.8840411,19.26813045
962.2831074,19.14546252
963.6821737,19.00619543
965.08124,18.93838848
966.4803063,18.75710186
967.8793725,18.29508417
969.2784388,18.61223037
970.6775051,18.26181304
972.0765714,17.34301457
973.4756377,16.54887772
974.874704,16.31617163
